n	individuo	poblacion	sitio	lon	lat	codigo	Temp_med_anual	Precip_anual	Intervalo_medio_diurno	Isotermalidad	Rango_anual_temp
46	SAM192 	pop21	San Isidro	-65.100081	-32.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
47	SAM193  	pop21	San Isidro	-64.100081	-31.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
48	SAM194	pop21	San Isidro	-63.100081	-30.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
49	SAM195	pop21	San Isidro	-62.100081	-29.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
50	SAM196	pop21	San Isidro	-61.100081	-28.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
51	SAM197	pop21	San Isidro	-60.100081	-27.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
52	SAM198	pop21	San Isidro	-59.100081	-26.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
53	SAM199	pop21	San Isidro	-58.100081	-25.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
54	SAM2 	pop1   	San José de la esquina	-61.711733	-33.13565	Sje	16.7666664123535	948	13.1000003814697	48.6988868713379	26.8999996185303
55	SAM20	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	14	52.2388038635254	26.7999992370605
56	SAM200	pop21	San Isidro	-57.100081	-24.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
57	SAM201	pop21	San Isidro	-56.100081	-23.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
58	SAM202	pop21	San Isidro	-55.100081	-22.133593	s	17.7541675567627	735	13.908332824707	50.2105903625488	27.7000007629395
59	SAM204	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
60	SAM205	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
61	SAM206	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
